Topic name,week1,week2,week3,week4,week5,week6,week7,week8,week9
General Discussion Topics,3.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
Government Actions,0.0,1.0,2.0,1.0,3.0,5.0,3.0,3.0,4.0
Consequences of Actions,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0
Users Reaction,0.0,0.0,0.0,3.0,3.0,2.0,4.0,3.0,3.0
Strategizing Fightback,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0
